Date,Date,Difference,Uncertainty,Slope Before,Uncertainty,Slope After,Uncertainty
16-Jul-2008,7/16/2008,4.72,3.01,-10.709,3.0089,-5.9913,2.3058
16-Aug-2008,8/16/2008,4.96,3.02,-11.189,3.0156,-6.2299,2.3187
15-Sep-2008,9/15/2008,5.04,2.94,-11.168,2.9386,-6.1269,2.3691
16-Oct-2008,10/16/2008,5.15,2.88,-11.292,2.8761,-6.1391,2.4141
15-Nov-2008,11/15/2008,5.21,2.80,-11.148,2.8013,-5.9334,2.4687
16-Dec-2008,12/16/2008,5.30,2.73,-11.034,2.7295,-5.7339,2.5252
16-Jan-2009,1/16/2009,5.42,2.67,-11.162,2.6747,-5.744,2.5757
14-Feb-2009,2/14/2009,5.51,2.63,-10.884,2.6137,-5.3697,2.628
16-Mar-2009,3/16/2009,5.66,2.64,-10.395,2.5794,-4.7316,2.6411
15-Apr-2009,4/15/2009,5.86,2.70,-10.278,2.5167,-4.4158,2.699
16-May-2009,5/16/2009,6.10,2.75,-10.089,2.4566,-3.9896,2.7472
15-Jun-2009,6/15/2009,6.37,2.80,-9.9548,2.3981,-3.586,2.7987
16-Jul-2009,7/16/2009,6.68,2.84,-9.8149,2.3417,-3.1388,2.8448
16-Aug-2009,8/16/2009,6.96,2.92,-9.9053,2.3013,-2.9501,2.9161
15-Sep-2009,9/15/2009,7.26,2.98,-9.9178,2.2539,-2.6568,2.9835
16-Oct-2009,10/16/2009,7.52,3.06,-10.073,2.2234,-2.5526,3.0628
15-Nov-2009,11/15/2009,7.77,3.15,-10.207,2.1895,-2.4322,3.1454
16-Dec-2009,12/16/2009,8.09,3.22,-10.215,2.1439,-2.1289,3.2214
16-Jan-2010,1/16/2010,8.50,3.27,-10.093,2.0969,-1.5971,3.2664
14-Feb-2010,2/14/2010,8.80,3.35,-10.181,2.0609,-1.3786,3.353
16-Mar-2010,3/16/2010,9.16,3.43,-10.205,2.0201,-1.0456,3.4318
15-Apr-2010,4/15/2010,9.54,3.51,-10.225,1.98,-0.68816,3.5095
16-May-2010,5/16/2010,10.15,3.48,-10.029,1.9428,0.11668,3.4831
15-Jun-2010,6/15/2010,10.70,3.50,-9.964,1.9023,0.73697,3.4955
16-Jul-2010,7/16/2010,10.91,3.61,-10.232,1.9013,0.67466,3.6063
16-Aug-2010,8/16/2010,10.97,3.72,-10.563,1.9116,0.40463,3.7214
15-Sep-2010,9/15/2010,11.12,3.85,-10.765,1.8922,0.35924,3.8451
16-Oct-2010,10/16/2010,11.15,3.98,-11.016,1.88,0.13317,3.9765
15-Nov-2010,11/15/2010,11.12,4.11,-11.248,1.8633,-0.12763,4.1148
14-Dec-2010,12/14/2010,11.18,4.27,-11.39,1.8342,-0.20783,4.2656
18-Feb-2011,2/18/2011,10.86,4.37,-11.69,1.8262,-0.83469,4.3741
16-Mar-2011,3/16/2011,10.95,4.53,-11.726,1.7902,-0.77582,4.5309
15-Apr-2011,4/15/2011,11.32,4.65,-11.638,1.7586,-0.32032,4.6543
16-May-2011,5/16/2011,11.39,4.83,-11.688,1.7251,-0.30191,4.8309
18-Jul-2011,7/18/2011,11.31,5.01,-11.767,1.6926,-0.45903,5.012
16-Aug-2011,8/16/2011,11.60,5.16,-11.691,1.6624,-0.088182,5.1634
15-Sep-2011,9/15/2011,11.25,5.36,-11.841,1.6374,-0.5877,5.3562
16-Oct-2011,10/16/2011,10.81,5.55,-11.981,1.6119,-1.1672,5.5531
31-Oct-2011,10/31/2011,10.29,5.76,-12.107,1.5862,-1.8136,5.7622
27-Dec-2011,12/27/2011,9.74,5.97,-12.204,1.5583,-2.4639,5.9668
16-Jan-2012,1/16/2012,9.70,6.24,-12.146,1.5328,-2.4411,6.2379
15-Feb-2012,2/15/2012,10.14,6.48,-11.984,1.5191,-1.8406,6.4796
16-Mar-2012,3/16/2012,10.81,6.69,-11.804,1.5078,-0.99574,6.6857
3-Apr-2012,4/3/2012,11.89,6.77,-11.595,1.5013,0.29702,6.7735
15-Jun-2012,6/15/2012,11.98,7.08,-11.568,1.4745,0.41166,7.0835
16-Jul-2012,7/16/2012,11.79,7.45,-11.585,1.4483,0.20725,7.4494
16-Aug-2012,8/16/2012,10.52,7.77,-11.746,1.434,-1.2243,7.7712
13-Sep-2012,9/13/2012,8.43,7.86,-11.961,1.4281,-3.5315,7.861
18-Nov-2012,11/18/2012,8.06,8.30,-11.901,1.4053,-3.8393,8.3031
16-Dec-2012,12/16/2012,7.35,8.77,-11.875,1.3814,-4.5276,8.768
16-Jan-2013,1/16/2013,7.50,9.31,-11.748,1.3663,-4.2525,9.3101
13-Feb-2013,2/13/2013,9.23,9.58,-11.495,1.3738,-2.2655,9.5763
20-Apr-2013,4/20/2013,8.88,10.20,-11.447,1.3509,-2.5693,10.197
16-May-2013,5/16/2013,9.33,10.84,-11.338,1.3328,-2.0099,10.835
15-Jun-2013,6/15/2013,9.86,11.55,-11.24,1.314,-1.3794,11.546
16-Jul-2013,7/16/2013,9.12,12.49,-11.231,1.2921,-2.114,12.492
16-Oct-2013,10/16/2013,6.97,13.25,-11.272,1.2717,-4.3052,13.245
15-Nov-2013,11/15/2013,3.38,13.64,-11.355,1.2549,-7.9715,13.637
16-Dec-2013,12/16/2013,3.73,14.72,-11.21,1.2436,-7.485,14.718
8-Jan-2014,1/8/2014,4.93,15.93,-11.048,1.2348,-6.1182,15.927
16-Mar-2014,3/16/2014,5.65,17.17,-10.916,1.2209,-5.2622,17.167
15-Apr-2014,4/15/2014,9.09,17.78,-10.709,1.2189,-1.6229,17.776
16-May-2014,5/16/2014,12.59,18.20,-10.546,1.2086,2.0395,18.2
12-Jun-2014,6/12/2014,13.10,19.72,-10.505,1.1893,2.5946,19.716
16-Aug-2014,8/16/2014,10.05,21.67,-10.53,1.1726,-0.47972,21.667
15-Sep-2014,9/15/2014,8.69,23.82,-10.493,1.154,-1.8053,23.823
16-Oct-2014,10/16/2014,1.43,26.14,-10.559,1.1423,-9.1245,26.136
15-Nov-2014,11/15/2014,0.81,29.57,-10.497,1.1251,-11.307,29.565
22-Jan-2015,1/22/2015,5.21,33.01,-10.449,1.1077,-15.663,33.01
14-Feb-2015,2/14/2015,13.83,36.14,-10.448,1.0913,-24.279,36.138
16-Mar-2015,3/16/2015,12.91,41.62,-10.289,1.0851,-23.203,41.616
15-Apr-2015,4/15/2015,9.73,48.01,-10.123,1.08,-19.852,48.011
26-Apr-2015,4/26/2015,7.33,57.92,-10.009,1.0675,-17.337,57.924
15-Jul-2015,7/15/2015,8.43,70.14,-9.9226,1.0526,-18.354,70.142
16-Aug-2015,8/16/2015,4.82,85.85,-9.8265,1.0386,-14.642,85.852
14-Sep-2015,9/14/2015,14.84,125.63,-9.8235,1.025,-24.662,125.63
22-Dec-2015,12/22/2015,25.26,161.94,-9.7544,1.0099,-35.01,161.94
16-Jan-2016,1/16/2016,59.78,223.57,-9.7234,0.99529,-69.5,223.57
13-Feb-2016,2/13/2016,69.17,365.91,-9.6094,0.98403,-78.775,365.91
